talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	Hoa r¬i cã ı ®Şnh, n­íc ch¶y v« t×nh, ı tø nµy ng­¬i hiÓu ch­a? 	Chóng ta chØ lµ gièng nhau quan hÖ ba. 	§ét nhiªn c¶m gi¸c ®­îc ca ca cã lóc còng rÊt cã h×nh! 	Ha ha, ta trİch ®Õn råi mét chuçi d· c©y anh ®µo. 	Bå T¸t phï hé, ta n¨m nay nhÊt ®Şnh ph¶i t×m ®­îc mét nh­ ı lang qu©n. 	H¾c h¾c, gÇn ®©y vËn khİ cña ta thËt kh«ng sai, mua mét ®èng tiÖn nghi y phôc.
2	Cïng víi ng­¬i rÊt buån ch¸n. 	B¾t ®Çu nghÜ ng­¬i ng­êi nµy còng kh«ng ph¶i lµ kh«ng cã ­u ®iÓm. 	Ta dÇn dÇn thİch cuéc sèng nh­ thÕ. 	Trªn c©y cã mét æ tiÓu YÕn tö, thËt ®¸ng yªu! 	Ta hoµi nghi cã ®óng hay kh«ng nguyÖt l·o quªn cho ta khiªn t¬ hång, thÕ nµo lu«n lu«n t×m kh«ng ®­îc ı trung nh©n. 	Khi cßn bĞ ta th­êng xuyªn cïng tû tû lai bê s«ng c©u c¸, tùa hå lµ chuyÖn ph¸t sinh ngµy h«m qua nh­ nhau.
3	Ng­¬i gÆp qua hång thñy sao, ta mÊy ng­êi th©n thİch sÏ chÕt ë mét håi ®¹i hång thñy trung. 	Kh«ng biÕt ng­¬i cã c¸i g× ... kh«ng lı t­ëng? 	Nói xanh, n­íc biÕc, c¶nh s¾c nh­ vËy sö t©m t×nh ng­êi ta ph¸ lÖ b×nh tÜnh. 	§Şa dÆm bİ ®á chİn, chóng ta cã muèn hay kh«ng sÊn nh©n kh«ng chó ı n· mét? 	Tay ng­¬i ®Òu khëi rãt, ph¶i chó ı b¶o d­ìng mét chót nga. 	Ta hiÖn t¹i c¶m thÊy rÊt h¹nh phóc, còng rÊt tháa m·n.
4	Kh«ng nªn cïng ta hi b× tiÕu kiÓm! 	Tuy r»ng ta kh«ng thİch hay nãi giìn, nh­ng ng­¬i nãi cho ta nghe ta còng kh«ng ng¹i. 	Ta thİch buæi tr­a ngñ mét håi ngñ tr­a. 	LÇn tr­íc chóng ta ngåi m· xa phôc vô th¸i ®é thËt kh«ng h¶o, liªn khø mét nhµ vÖ sinh còng kh«ng ®Ó cho ®×nh. 	ThËt muèn ngñ n­íng a. 	Võa mét m¶nh l¸ rông r¬i ë trªn ®Çu ng­¬i.
5	Kh«ng thİch nhÊt v« së sù sù nam nh©n. 	Nam nh©n yÕu bµy ra bän hä réng lín lßng d¹, kh«ng nªn kh«ng phãng kho¸ng. 	Ta tr­íc ®©y cÊp tiÖm c¬m lµm qua háa kÕ, hoµn m¹i qu¸ nghÖ, ®· lµm tiÓu bu«n b¸n, ¸p qu¸ phiªu. 	LÇn tíi vµo thµnh, chóng ta ®¸o tiÖm c¬m khø cËt thŞt kho tµu c¸ ba? 	Ta nghÜ kh¸n khãi löa, kh«ng biÕt n¨m nay ®ªm thÊt tŞch cã thÓ hay kh«ng phãng? 	Cha ta ®a hiÓu ta nhÊt, lu«n lu«n mua cho ta ®Ñp m¾t v¶i b«ng tè y phôc.
6	Ch©n chİnh anh hïng ch¾c lµ sÏ kh«ng nhí mét thêi ®­îc mÊt. 	Ng­¬i ch­a bao giê uèng n­íc sao? 	ThËt lµ nhí cËt nhÊt t« m× thŞt bß a. 	? hång trµ Ri-ga ta c©y hoa hång cµ cã an thÇn t¸c dông! 	Rau hÑ kh«ng ®un s«i cËt dÔ tiªu ch¶y. 	B¸nh mµn thÇu, ha ha ta yªu nhÊt.
7	Nam nh©n nhá män tèi mét mŞ lùc. 	Nam nh©n còng cÇn b¶o d­ìng da. 	Tr©n ch©u cña ta phÊn ®· kh«ng cã, ph¶i ®Õn chî ®i tíi m·i ta. 	Ca ca ®ang nh×n na vŞ mü n÷ ni? 	A, ta thÊy mÌo mun, sÏ kh«ng xui xÎo. 	Ca ca, c¸i g× gäi lµ miÕn, th­êng th­êng nghe ®­îc ng­êi kh¸c nãi c¸i tõ nµy, nh­ng tùa hå ®iÒu kh«ng ph¶i ta ¨n c¸i lo¹i nµy miÕn.
8	Nh­îng n÷ nh©n tr¶ tiÒn nam nh©n tuyÖt kh«ng n¨ng giao phã c¶ ®êi. 	TiÒu ng­¬i ph¬i nh­ vËy h¾c a! 	Muèn ¨n c¸nh gµ n­íng. 	Võa ta thÊy mét con chã vµ mÌo ®ang ®¸nh c¸i, cÈu cßn ®¸nh n÷a th«i qu¸ mÌo! 	¤n nhu n÷ hµi tèi chiªu cËu bĞ thİch, ®óng kh«ng? 	Vâ c«ng cña ta tiÕn bé kh«ng İt, liªn tù ta còng c¶m thÊy.
9	Lóc ta ngñ hËu thİch an tÜnh, sau ®ã ng­¬i ph¶i chó ı. 	§øng ë ®Ønh nói thiÕu nh×n ph­¬ng xa t©m t×nh réng r·i rÊt nhiÒu. 	Léc thŞt phãng tíi trªn löa n­íng vŞ ®¹o tèi kh«ng sai. 	Tr¨ng trßn buæi tèi, cã thÓ cïng ca ca n©ng cèc nhan vui mõng th× tèt råi! 	Võa c« g¸i kia d­êng nh­ ®ang nh×n ca ca nga, ha h¶! 	Tu luyÖn vâ c«ng ®ång thêi, còng muèn b×nh th­êng ch¹y bé.
10	Thùc sù lµ khuyÕt thiÕu t×nh thó nam nh©n, vµ ng­¬i cïng nhau l÷ hµnh rÊt mét kİnh. 	Kh¸n, ven ®­êng hoa në nhiÒu mü lÖ a. 	Con ng­êi cña ta a, tèi héi sèng, ch­a bao giê phung phİ mét ®ång tiÒn. 	Ta thİch ®µo mµu ®á kh¨n tay. 	VÉn lo l¾ng biÓu ca ta n¨m nay cã ®óng hay kh«ng cã thÓ thi ®Ëu tó tµi, h¾n thi m­êi n¨m. 	Ta ®· thÊy mét bØ ca ca líp m­êi béi ng­êi cña, ®¹i kh¸i hay ng­êi to lín ba.
