talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	ChuyÖn cña nam nh©n n÷ nh©n İt ®Ó ı! 	Ng­¬i, cã kháe kh«ng! 	§ét nhiªn ph¸t hiÖn nguyªn lai ng­¬i thËt lµ rÊt ®Ñp! 	Kªu cµu nhµu ~ tû tû, bông cña ta kªu. 	Ly biÖt cã ®óng hay kh«ng rÊt thèng khæ ni? 	Tû tû, nh­îng ta vÜnh viÔn b¶o hé nhÜ h¶o sao?
2	Ta thŞ b»ng h÷u cña ng­¬i, vÉn lµ cña ng­¬i c«ng cô? 	Thùc sù kh«ng thİch øng hoµn c¶nh cña n¬i nµy? 	Ng­¬i ngµy h«m nay rêi gi­êng tùa hå mét ch¶i ®Çu nga! 	Tû tû, ta cã ®óng hay kh«ng thİch s¸t v¸ch c« g¸i kia ni? 	V× sao nghÜ ®Õn ly khai tû tû, t©m lı cña ta sÏ rÊt khã thô! 	Minh Thiªn tû tû muèn ®i n¬i nµo ni?
3	Hanh! Ng­¬i cho tíi b©y giê còng kh«ng coi ta lµ mét håi sù! 	Ng­¬i thÕ nµo lu«n lu«n nh­ vËy kh«ng cÈn thËn! 	Ngµy h«m qua chóng ta ¨n b¸nh bao ng­¬i c¶m thÊy thÕ nµo ni? 	Tû tû, ta muèn nghØ ng¬i mét chót. 	Ta ph¶i vÜnh viÔn b¶o hé tû tû, kh«ng cho tû tû bŞ th­¬ng tæn! 	Tû tû vâ c«ng ®· lîi h¹i h¬n ta nga!
4	Ng­¬i kh¶ dÜ kh«ng nh­ thÕ phiÒn sao? 	§õng cho lµ ta sÏ bŞ ng­¬i c¶m ®éng nga, ta míi kh«ng cã ni! 	Ngµy h«m qua tiÓu C­êng khø th©u d­a bŞ chép ®­îc! 	Kú thùc tû tû cßn lµ rÊt thİch ta ba! 	Tû tû, ng­¬i xem tr©m gµi tãc ®Ñp m¾t kh«ng? 	Tû tû nhÊt ®Şnh ph¶i nhí kü lóc nµo còng bang trî cïng khæ nh©n nét!
5	Ta b¾t ®Çu muèn rêi ®i ng­¬i! 	Ng­¬i thÕ nµo vÉn nh×n ta! 	C¸i kia Lı viªn ngo¹i lín lªn d­êng nh­ hÇu tö nga. 	Nha! Tû tû thÕ nµo ®á mÆt! 	Trong nói rõng mÆt cã ®«i khi còng tån t¹i cã ®éc c©y cá, ph¶i coi chõng nga! 	Tû tû, ta ®ét nhiªn h¶o muèn trë vÒ nh×n ta mét chót mÉu th©n!
6	Nãi thËt, nh­ ng­¬i vËy ®¸ng ghĞt n÷ nh©n ta ch­a tõng thÊy qu¸! 	Kú thùc b¸nh mµn thÇu còng ¨n thËt ngon ni! 	V× sao qu¹ ®en sÏ bŞ cho r»ng lµ phu quĞt ®­êng? 	Len lĞn nãi cho ng­¬i biÕt nga, ta ®· tõng tÆng s¸t v¸ch n÷ hµi mét ®ãa hoa nhá. 	Oa, ta giµy ®Òu mµi ph¸, cai ho¸n song míi! 	Kh«ng biÕt nhµ cña ta s¸t v¸ch n÷ hµi lËp gia ®×nh mét!
7	§õng t­ëng r»ng lín lªn ®Ñp, cã thÓ b¸ ®¹o nh­ vËy! 	Ta cho ng­¬i biÕt, kú thùc ng­¬i nh©n còng kh«ng xÊu! 	Trªn trêi lµ phñ thËt sù cã tiªn nh©n ë l¹i ni? 	TiÓu v­¬ng n·i n·i rÊt ®¸ng th­¬ng, m¾t ®Òu nh×n kh«ng thÊy råi ®ã! 	Ngµy h«m nay ®ét nhiªn rÊt muèn cËt l¹t g× ®ã! 	Tû tû, ng­¬i biÕt luyÕn ¸i thŞ t­ vŞ g× sao?
8	Ta cho ng­¬i biÕt, ta sinh khİ! 	Ta kh«ng thÕ nµo héi biÓu ®¹t, cã ®«i khi ng­¬i chí ®Ó ı! 	Tõ ta b¸t tuæi thêi gian, cha mµ b¾t ®Çu d¹y ta vâ c«ng. 	Tû tû, ng­¬i rÊt thİch h¸t sao? 	Chê chóng ta b¾t ®­îc thæ phØ, tùu ph¸t tµi! 	Chóng ta tùa hå còng biÕt ®©y ®ã ®ang suy nghÜ g×?
9	Trêi ¹! Ng­¬i ng­êi nµy thÕ nµo nh­ thÕ phiÒn nha! 	Trªn nói hÇu tö th¸i ®iÒu b×, chóng nã hoµn ®o¹t gia gia mò, kh«ng biÕt cã thÓ hay kh«ng th­ëng cña ng­¬i c¸i yÕm ni? 	A kú thùc sù lµ ng­êi nh¸t gan, liªn con chuét ®Òu cã thÓ b¶ h¾n h¸ch ra bÖnh lai! 	Tû tû nÕu nh­ kh«ng nç lùc, còng rÊt dÔ dµng bŞ ng­êi khi dÔ nga. 	Tû tû ngµy h«m nay thËt xinh ®Ñp nha, muèn ®i kiÕn ng­êi trong lßng sao? 	Ta ngµy ®ã thÊy mét xinh ®Ñp khuyªn tai nga, rÊt thİch hîp tû tû mang!
10	Hanh! Cã vµi ng­êi da mÆt thËt ®óng lµ bØ t­êng hËu! 	NÕu nh­ cã thÓ thËt tèt ¨n mét b÷a, t¸i an t©m ngñ mét giÊc tèt biÕt bao nhiªu nha. 	Ta còng rÊt t­ëng niÖm gia h­¬ng cña ta! 	Mïa hÌ ban ®ªm tµi n¨ng ë trong s«ng t¾m thËt lµ ®Ñp hay a! 	Trung thu tiÕt ë bÊt ®ång ®Şa ph­¬ng, kh«ng cã cïng qu¸ ph¸p nga! 	Xem qua biÓn réng hËu, ta biÕt mäi ng­êi v× sao ph¸t thÖ cÇn s«ng c¹n ®¸ mßn!
11	ThÕ nµo? Ch­a thÊy qua dÔ nh×n a? 	Nam tö h¸n bÊt n¨ng ®¬n gi¶n ®èi víi ng­êi gia khèc! 	Khi cßn bĞ Èn nÊp t¹i ngo¹i bµ kh¸ng th­îng, thİnh bµ ngo¹i kÓ chuyÖn x­a. 	Nghe nãi n¬i nµy cã rÊt nhiÒu phiÕn tö, ng­¬i còng ph¶i cÈn thËn nga! 	Mau nh×n! Bªn kia cã ng­êi ë m¹i diÒu nga! 	V× sao n¬i nµy kÎ cã tiÒn nh­ vËy cã nhiÒu, ng­êi nghÌo nh­ vËy nghÌo ni?
12	Ng­¬i cho tíi b©y giê ®Òu bÊt t¹i hå nh©n gia c¶m thô! 	Nói xanh cßn ®ã, n­íc biÕc ch¶y dµi, tÊt c¶ mäi ng­êi dïng c¸i nµy c¸o biÖt sao? 	BÇu trêi B¹ch V©n ch©n t­íng kÑo ®­êng, thËt lµ nhí ¨n mét miÕng! 	Bªn kia cã m¹i møt qu¶ ghim thµnh x©u, ta còng ®i m·i ba! 	ThËt lµ nhí cËt kh¶o ®ïi dª nga! NghÜ ®Õn tùu n­íc bät l­u! 	Tû tû, thiªn ®­êng cã hay kh«ng thËt tån t¹i ni?
13	Ng­¬i lµ mét İch kû n÷ nh©n! 	Tr­íc ®©y ta b×nh th­êng len lĞn nh×n s¸t v¸ch n÷ hµi tö, nµng thËt lµ ®¸ng yªu. 	S¸t v¸ch th«n B¹ch qu¶ phô ngµy h«m qua ®Çu s«ng tù vËn. 	Mét ngµy ®ªm ®i nhiÒu nh­ vËy lé, còng ph¶i chó ı nghØ ng¬i chø! 	Ngò §éc gi¸o nghe nãi mçi ng­êi ®Òu lµ dông ®éc cao thñ nga! 	Kú thùc ta còng rÊt muèn lµm hoµng ®Õ, ha ha!
