problemid	problemcontent	channelA	channelB	channelC
1	ViÖc nµo §ång hµnh kh«ng thÓ lµm?	Gióp ng­êi ch¬i ®¸nh qu¸i	Giao nhiÖm vô cho ng­êi ch¬i	Gióp qu¸i ®¸nh ng­êi ch¬i
2	§ång hµnh lµ sao?	Lµ 1 NPC cïng b¹n phiªu b¹t giang hå 	§ång hµnh lµ NPC b¸n ®å	§ång hµnh lµ mét ng­êi ch¬i
3	Trong trß ch¬i lµm sao cã ®­îc §ång hµnh?	Hoµn thµnh nhiÖm vô sÏ häc ®­îc	§Õn Tr­êng Ca m«n ®Ó nhËn l·nh	LuyÖn c«ng  nhËn ®­îc
4	Cã thÓ ®èi tho¹i víi §ång hµnh kh«ng?	Cã thÓ 	Kh«ng thÓ 	Kh«ng râ 
5	Phİm gäi §ång hµnh ë ®©u?	B¶ng c«ng cô cña ng­êi ch¬i	B¶ng c«ng cô cña §ång hµnh	B¶ng thuéc tİnh §ång hµnh
6	T¹m thêi kh«ng muèn cïng §ång hµnh lµm nhiÖm vô?	NhÊn nót gäi §ång hµnh	NhÊn nót theo sau	NhÊn nót gi¶i t¸n nhãm
7	Lµm sao ®Ó §ång hµnh tÊn c«ng kÎ ®Şch?	NhÊn nót ®èi tho¹i víi §ång hµnh	NhÊn nót theo sau	NhÊn nót chñ ®éng c«ng kİch
8	Lµm sao ®Ó §ång hµnh theo sau m×nh?	NhÊn nót theo sau	NhÊn nót chñ ®éng c«ng kİch	nhÊp chuét tr¸i vµo ®ång hµnh
9	Tõ bªn tr¸i sang nót thø mÊy dïng ®Ó xem thuéc tİnh cña §ång hµnh?	Thø 8	Nót thø 5	Thø 1
10	§Ó xem kü n¨ng cña §ång hµnh nhÊn nót thø mÊy tõ bªn ph¶i sang?	Thø 8	Nót thø 7	Nót thø 2
11	Lµm sao ®Æt tªn cho §ång hµnh?	Tù nghÜ mét tªn lµ ®­îc	Göi tªn cho GM	NhËp vµo tªn nh©n vËt trong b¶n thuéc tİnh ®ång hµnh
12	§ång hµnh sau khi h«n mª ph¶i mÊt mét thêi gian dµi míi cã thÓ gäi l¹i	3 phót	5 phót	10 phót
13	Muèn håi phôc sinh lùc cho §ång hµnh?	Uèng d­îc liÖu	ChØ cÇn §ång hµnh kh«ng xuÊt hiÖn 	Dïng kü n¨ng hç trî §ång hµnh 
14	Khi sinh lùc cña §ång hµnh gi¶m ®Õn 0, sÏ nh­ thÕ nµo?	tr¹ng th¸i tö vong	tr¹ng th¸i ho¶ng lo¹n	tr¹ng th¸i h«n mª 
15	Khi §ång hµnh ë tr¹ng th¸i "theo sau" khi bŞ ®Şch tÊn c«ng sÏ 	Ph¶n c«ng kÎ ®Şch	Sö dông kü n¨ng håi phôc 	ChØ cÇn theo sau ng­êi ch¬i
16	Khi ng­êi ch¬i ë tr¹ng th¸i "c«ng kİch", khi bªn c¹nh cã kÎ ®Şch sÏ 	Tİnh c¸ch cña §ång hµnh kh«ng gièng nhau sÏ cã ph¶n øng kh¸c nhau.	TiÕn lªn c«ng kİch kÎ ®Şch	Kh«ng lµm g× hÕt
17	Sau khi gi¶i t¸n nhãm cã thÓ t×m l¹i §ång hµnh kh«ng?	Cã thÓ 	Kh«ng	§Õn Tr­êng Ca M«n sÏ t×m ®­îc
18	Nót gi¶i t¸n §ång hµnh ë 	B¶ng c«ng cô §ång hµnh	B¶ng c«ng cô ng­êi ch¬i	giao diÖn thuéc tİnh cña §ång hµnh
19	B¶ng c«ng cô §ång hµnh cã thÓ di chuyÓn kh«ng?	Cã thÓ 	Kh«ng	Kh«ng râ 
20	Tõ bªn tr¸i sang nót nµo lµ nót ®èi tho¹i víi §ång hµnh?	Thø 1	Thø 4	Nót thø 7
21	Sau khi nhÊn nót gi¶i t¸n nhãm	§ång hµnh sÏ bŞ gi¶i t¸n	§ång hµnh sÏ bŞ triÖu håi	HÖ thèng sÏ hái b¹n cã tiÕp tôc thao t¸c kh«ng
22	Nót yªu cÇu §ång hµnh kh«ng tÊn c«ng kÎ ®Şch?	chñ ®éng c«ng kİch 	Theo sau	Kh«ng tÊn c«ng
23	Nót nµo d­íi ®©y trong b¶n c«ng cô §ång hµnh kh«ng cã?	Gäi §ång hµnh	Gi¶i t¸n §ång hµnh	chñ ®éng c«ng kİch 
24	Khi §ång hµnh tho¸t khái tr¹ng th¸i h«n mª, sinh lùc sÏ phôc håi nguyªn vÑn	10%	50%	100%
25	Khi §ång hµnh ë tr¹ng th¸i "theo sau", nhÊn nót nµo ®Ó §ång hµnh tÊn c«ng kÎ ®Şch?	chñ ®éng c«ng kİch 	Gi¶i t¸n §ång hµnh	Gäi §ång hµnh
26	Khi hÖ thèng hái: "B¹n muèn gi¶i t¸n §ång hµnh nµy?" nÕu b¹n chän " X¸c nhËn", lËp tøc: 	B¹n muèn Gäi §ång hµnh	bá §ång hµnh nµy	B¹n gióp §ång hµnh th¨ng cÊp
27	Nót gi¶i t¸n §ång hµnh ®Ó lµm g×?	T¹m thêi cÊt §ång hµnh vµo	Xãa ®i vÜnh viÔn §ång hµnh nµy	Muèn §ång hµnh tÊn c«ng 
28	Nh÷ng c©u sau ®©y c©u nµo ®óng?	Gi¶i t¸n xong vÉn cã thÓ t×m l¹i	§ång hµnh sÏ tÊn c«ng kÎ ®Şch khi ë tr¹ng th¸i "theo sau".	B¹n kh«ng thÓ chØ ®Şnh §ång hµnh ®¸nh mçi kÎ ®Şch
29	Nót "Gäi §ång hµnh" cßn cã chøc n¨ng nµo kh¸c?	Gäi §ång hµnh	Ra lÖnh cho §ång hµnh tÊn c«ng 	Gi¶i t¸n §ång hµnh
30	Thuéc tİnh nµo §ång hµnh kh«ng cã?	Th©n ph¸p	Søc m¹nh	May m¾n
31	Thuéc tİnh nµo §ång hµnh cã?	Nh©n phÈm	May m¾n	Néi c«ng
32	Søc m¹nh ¶nh h­ëng §ång hµnh?	Tr¸nh nĞ 	Chİnh x¸c	S¸t th­¬ng
33	Khi §ång hµnh th¨ng cÊp, c¸ch n©ng thuéc tİnh lµ: 	N©ng ®iÓm tiÒm n¨ng	N©ng ®iÓm t­ chÊt	Tù ®éng n©ng
34	C¸i g× ¶nh h­ëng ®Õn tèc ®é di chuyÓn cña §ång hµnh?	Tèc ®é di chuyÓn cña Ng­êi ch¬i	Tèc ®é ch¹y cña §ång hµnh	Th©n ph¸p cña Ng­êi ch¬i
35	S¸t th­¬ng lµ: 	TrŞ sè cña kü n¨ng c«ng kİch 	TrŞ sè hiÖn cã trªn  kü n¨ng c«ng kİch 	tÊt c¶ c¸c kü n¨ng c«ng kİch 
36	Thuéc tİnh nµo quyÕt ®Şnh c¸ch tÊn c«ng?	Tİnh c¸ch	Søc m¹nh	Tr¸nh nĞ 
37	Thuéc tİnh nµo d­íi ®©y cã t­ chÊt?	Tİnh c¸ch	S¸t th­¬ng	Tèc ®é ch¹y
